homology_id,mouse_symbol,human_symbol
48883469,CHR1:36107481-36145527(+),CHR2:128236716-128318868(-)
48883470,CHR14:119375753-120107227(+),CHR13:96090107-96839562(+)
48883471,CHR1:106648189-106687457(-),CHR18:63327726-63367228(-)
48883541,CHR3:82265379-82302575(+),CHR4:155342658-155376970(-)
48883589,CHR10:18876658-18891158(-),CHR6:137866349-137883314(+)
48883590,CHR10:75152711-75170618(+),CHR22:24417879-24442357(+)
48883591,CHR16:5702566-7230344(+),CHR16:5239721-7713340(+)
48883592,CHR6:121815500-121866016(+),CHR12:9136472-9208395(-)
48883593,CHR6:121612920-121656197(+),CHR12:9067664-9116229(-)
48883596,CHR6:121983720-122062924(+),CHR12:9136472-9208395(-)
48883597,CHR6:121711454-121761598(+),CHR12:9136472-9208395(-)
48883598,CHR3:105811737-105816244(+),CHR1:111499429-111503633(-)
48883599,CHR11:32246489-32247298(+),CHR16:176680-177522(+)
48883599,CHR11:32246489-32247298(+),CHR16:172876-173710(+)
48883600,CHR11:32226600-32228116(+),CHR16:142728-154503(+)
48883601,CHR17:31896905-31900704(+),CHR21:43169008-43172810(+)
48883602,CHR13:64437612-64460524(-),CHR9:96639577-96655317(-)
48883603,CHR6:86826499-86980205(+),CHR2:69457997-69674349(-)
48883604,CHR11:116482547-116489022(+),CHR17:76453351-76470117(+)
48883605,CHR8:111759781-111784237(+),CHR16:70251983-70289707(-)
48883606,CHR5:65545707-65548774(-),CHR4:39452587-39458931(-)
48883607,CHR4:53030787-53159895(-),CHR9:104781006-104928155(-)
48883608,CHR17:24570997-24629178(+),CHR16:2275881-2340746(-)
48883609,CHR12:118831559-118930156(-),CHR7:20615667-20777038(+)
48883610,CHR5:8943717-9009231(+),CHR7:87365896-87480435(-)
48883611,CHR5:8710077-8798575(+),CHR7:87503017-87713323(-)
48883612,CHR5:8848147-8916314(+),CHR7:87503017-87713323(-)
48883613,CHR17:34406530-34416199(+),CHR6:32845209-32853816(-)
48883614,CHR17:34423453-34435295(+),CHR6:32821831-32838739(-)
48883615,CHR1:75148361-75157036(-),CHR2:219209772-219218994(-)
48883616,CHR7:45625804-45679915(-),CHR16:16149565-16223522(-)
48883617,CHR6:18170686-18322767(+),CHR7:117287120-117715971(+)
48883618,CHR5:24770343-24782465(-),CHR7:151211484-151227205(-)
48883618,CHR5:24770343-24782465(-),CHR7:151207837-151227205(-)
48883619,CHR9:44184485-44199912(-),CHR11:119149052-119162666(+)
48883620,CHR16:45550088-45563318(-),CHR3:111979010-111993368(+)
48883621,CHR10:80419488-80426175(-),CHR19:1876810-1885496(-)
48883622,CHR7:78923002-79015257(+),CHR15:89040998-89202355(+)
48883623,CHR5:107551379-107577901(+),CHR1:92029985-92063538(+)
48883624,CHR8:71909349-71916299(-),CHR19:17292131-17310236(-)
48883625,CHR2:22830085-22930207(-),CHR10:26746593-26861087(-)
48883626,CHR16:56298241-56510498(+),CHR3:100749156-100993515(-)
48883627,CHR2:28386903-28395427(+),CHR9:133152948-133163933(-)
48883628,CHR6:48951897-48955680(+),CHR7:150824627-150861504(+)
48883629,CHR6:48872189-48886122(+),CHR7:150824627-150861504(+)
48883630,CHR6:48906830-48910621(+),CHR7:150824627-150861504(+)
48883631,CHR6:48963795-48968656(+),CHR7:150824627-150861504(+)
48883632,CHR15:41728689-41733116(-),CHR8:106759483-106770244(-)
48883633,CHR5:100953058-100968831(-),CHR4:83459517-83523348(-)
48883634,CHR7:132460954-132486840(+),CHR10:124801819-124836667(+)
48883635,CHR16:34975247-35126108(+),CHR3:123282296-123449090(-)
48883636,CHR16:30911230-31020063(-),CHR3:195274745-195443044(-)
48883637,CHR15:102058961-102071904(+),CHR12:53103486-53124535(+)
48883638,CHR7:126045032-126062245(-),CHR16:28878405-28904466(+)
48883639,CHR11:84020498-84292477(+),CHR17:37084992-37406836(-)
48883640,CHR11:80770989-81859222(-),CHR17:33013087-34174964(-)
48883641,CHR5:24618449-24622836(+),CHR7:151048292-151052756(+)
48883642,CHR15:99568249-99599011(+),CHR12:50057548-50083622(+)
48883643,CHR1:75427080-75450987(+),CHR2:219507093-219538772(+)
48883644,CHR19:45725237-45731354(-),CHR10:101770109-101780371(-)
48883645,CHR7:80038942-80055188(-),CHR15:90868588-90883564(+)
48883646,CHR19:31846164-31926395(+),CHR10:50799409-50885675(-)
48883647,CHR4:123243426-123581331(-),CHR1:39081316-39487177(+)
48883648,CHR9:60620404-60646084(+),CHR15:70829130-70854157(-)
48883649,CHR2:73393625-73410682(-),CHR2:174747592-174787935(-)
48883650,CHR11:69674862-69686742(-),CHR17:7445061-7457710(+)
48883651,CHR11:70505709-70510042(-),CHR17:4897771-4934438(-)
48883652,CHR1:87133533-87139365(+),CHR2:232539692-232548115(+)
48883653,CHR19:24660380-24839219(-),CHR9:68328308-68531061(+)
48883654,CHR14:54879618-54924388(-),CHR14:23058564-23095614(-)
48883655,CHR11:69741831-69749556(-),CHR17:7380047-7389774(+)
48883656,CHR16:32462699-32502311(+),CHR3:195863364-195911945(-)
48883657,CHR11:100367179-100418826(-),CHR17:41866917-41930545(-)
48883658,CHR6:6956004-7039661(+),CHR7:97117698-97181763(+)
48883659,CHR4:106601752-106662195(-),CHR1:54542257-54639192(+)
48883660,CHR15:20665300-20666836(-),CHRX:23701055-23766475(-)
48883661,CHRX:154045439-154080650(+),CHRX:23701055-23766475(-)
48883662,CHR9:22038023-22047007(-),CHR19:11574653-11579993(-)
48883663,CHR9:96705389-96774722(-),CHR3:141228726-141367753(+)
48883664,CHR16:22965286-22976718(+),CHR3:186842704-186858463(+)
48883665,CHR8:46924214-46989088(+),CHR4:184755595-184826818(-)
48883666,CHR1:78635600-78685462(+),CHR2:222860942-222944639(+)
48883667,CHRX:141100989-141173531(-),CHRX:109624244-109733403(-)
48883668,CHR2:150460031-150510160(-),CHR20:25006230-25058980(-)
48883669,CHR10:39488930-39531303(+),CHR6:111555381-111606906(-)
48883670,CHR2:113877763-113883356(-),CHR15:34790107-34795589(-)
48883671,CHR13:16186436-16206206(+),CHR7:41667168-41705834(-)
48883672,CHR1:119343195-119349978(-),CHR2:120346136-120351803(+)
48883673,CHR8:124618508-124621490(-),CHR1:229430365-229434104(-)
48883674,CHR12:4004951-4010642(+),CHR2:25160853-25168903(-)
48883675,CHR11:120236513-120239321(-),CHR17:81509413-81523847(-)
48883676,CHR5:142888870-142892509(-),CHR7:5526409-5563902(-)
48883677,CHR13:12284312-12355613(-),CHR1:236664141-236764631(+)
48883678,CHR19:4911244-4927937(-),CHR11:66546395-66563334(+)
48883679,CHR1:36737195-36749051(-),CHR2:97655939-97664044(-)
48883680,CHR11:20012304-20062913(-),CHR2:65227788-65271253(+)
48883681,CHR2:48704121-48793276(+),CHR2:147844517-147930826(+)
48883682,CHR9:119231184-119264061(+),CHR3:38453890-38493142(+)
48883683,CHR2:58336450-58456840(-),CHR2:157736251-157876330(-)
48883684,CHR15:101071953-101111565(+),CHR12:51951699-51997078(+)
48883685,CHR19:38776572-38807681(-),CHR10:94314907-94362959(-)
48883686,CHR2:163568504-163592159(-),CHR20:44584896-44652252(-)
48883687,CHR2:120970909-120987161(+),CHR15:43330351-43354569(+)
48883688,CHR9:70586279-70687511(+),CHR15:58588809-58749791(-)
48883689,CHR7:133484928-133826859(-),CHR10:126012381-126388477(-)
48883690,CHR12:21373510-21423633(-),CHR2:9488486-9556732(-)
48883691,CHR7:139558845-139572475(-),CHR10:133262420-133276868(-)
48883692,CHR8:25439627-25506943(-),CHR8:38996754-39105445(+)
48883693,CHR9:30810451-30833748(-),CHR11:130448645-130476645(+)
48883694,CHR11:50492912-50698400(+),CHR5:179110853-179345461(-)
48883695,CHR9:30853858-30875134(+),CHR11:130404923-130428609(-)
48883696,CHR2:26969391-26998993(+),CHR9:133532164-133575519(+)
48883697,CHR9:59874214-60429329(-),CHR15:71096894-71783383(+)
48883698,CHR5:139257631-139311377(-),CHR7:897900-955407(-)
48883699,CHR10:77126560-77254104(-),CHR21:45073853-45226563(+)
48883700,CHR1:179992803-180023585(-),CHR1:226940286-226987544(+)
48883701,CHR7:26932448-26957375(+),CHR19:40691514-40725784(-)
48883702,CHR12:4183397-4263525(+),CHR2:24819169-24920237(-)
48883703,CHR15:64570884-64794145(-),CHR8:130780301-131040909(-)
48883704,CHR8:88999031-89056590(+),CHR16:50244699-50318135(+)
48883705,CHR15:98487854-98507957(-),CHR12:48766194-48789974(-)
48883706,CHR17:93506448-93513967(+),CHR18:904411-912172(+)
48883707,CHR6:55428963-55478436(+),CHR7:31052308-31111474(+)
48883708,CHR19:53128874-53235518(+),CHR10:109996368-110135565(+)
48883709,CHR4:86566623-86588297(-),CHR9:19108375-19149290(-)
48883710,CHR7:139414090-139458004(+),CHR10:133087924-133131675(+)
48883711,CHR16:56544972-56616218(-),CHR3:100609601-100695479(+)
48883712,CHR3:138148854-138161260(+),CHR4:99070978-99088801(-)
48883713,CHR1:134343116-134361089(+),CHR1:202940825-202958572(-)
48883714,CHR14:21102642-21498637(+),CHR10:74151202-74709963(+)
48883715,CHR15:89206923-89208934(+),CHR22:50481543-50486440(+)
48883716,CHR10:127585471-127587667(-),CHR12:56994492-56998877(+)
48883717,CHR2:168022906-168049032(-),CHR20:50888916-50931437(-)
48883718,CHR18:80169526-80194697(-),CHR18:80109262-80147523(+)
48883719,CHR1:134126963-134163169(-),CHR1:203090654-203167405(+)
48883720,CHR4:126210144-126215496(-),CHR1:36088892-36093932(+)
48883721,CHR11:66928731-66943420(-),CHR17:10697594-10711558(+)
48883722,CHR14:51045347-51058758(+),CHR14:20343615-20357904(+)
48883723,CHR3:108332181-108352525(-),CHR1:109213893-109238182(+)
48883724,CHR14:66872700-67008617(+),CHR8:26748150-26867379(-)
48883725,CHR5:113058344-113163518(-),CHR22:25564675-25729294(+)
48883726,CHR2:179813381-179818076(+),CHR20:62302093-62308862(+)
48883727,CHR3:92335374-92336730(-),CHR20:62302093-62308862(+)
48883728,CHR1:177590742-177624064(-),CHR1:244408494-244452060(-)
48883729,CHR12:112586481-112607789(+),CHR14:104724174-104747325(+)
48883730,CHR8:110505215-110590842(+),CHR16:71729000-71809201(-)
48883731,CHR11:32233672-32234486(+),CHR16:176680-177522(+)
48883731,CHR11:32233672-32234486(+),CHR16:172876-173710(+)
48883732,CHR11:102239646-102256107(-),CHR17:44248390-44268141(-)
48883733,CHR5:24628834-24645945(+),CHR7:151057210-151076527(+)
48883734,CHR1:75522688-75536075(+),CHR2:219627394-219641980(+)
48883735,CHR11:5811947-5822088(+),CHR7:44104345-44114562(+)
48883736,CHR18:35251955-35387829(+),CHR5:138610967-138935034(+)
48883737,CHR17:15587616-15597134(-),CHR6:170282206-170306565(-)
48883738,CHR12:102360341-102405987(-),CHR14:92703807-92748679(-)
48883739,CHR10:81395322-81402196(+),CHR19:3052910-3063107(-)
48883740,CHRX:20791693-20797794(-),CHRX:47623172-47630305(-)
48883741,CHR8:107596874-107609534(+),CHR16:69083484-69118719(+)
48883742,CHR5:115087039-115109121(-),CHR12:120978543-121002512(+)
48883743,CHR11:102778162-102791368(-),CHR17:44903159-44916937(-)
48883744,CHR18:61863333-61919733(-),CHR5:149271859-149343637(+)
48883745,CHR5:103840307-104003188(+),CHR4:86935002-87141039(+)
48883746,CHR15:84116244-84199889(+),CHR22:43999211-44172939(+)
48883747,CHR1:171052623-171053948(+),CHR1:161222290-161223631(-)
48883748,CHR12:35975620-35999736(+),CHR7:16854681-16881987(-)
48883749,CHR2:122424954-122441758(-),CHR15:45361124-45402327(-)
48883750,CHR7:78703231-78764847(+),CHR15:88803436-88875353(+)
48883751,CHR1:82817204-82878903(+),CHR2:227472152-227561217(+)
48883752,CHR3:116533648-116601815(-),CHR1:99849258-99924023(+)
48883753,CHR5:77497092-77555892(-),CHR4:57030773-57110385(-)
48883754,CHR4:126328805-126362376(-),CHR1:35869761-35930532(+)
48883755,CHR15:72967693-73056777(-),CHR8:140520156-140642313(-)
48883756,CHR4:126225497-126323349(-),CHR1:35930718-36072500(+)
48883757,CHR4:126383334-126427265(-),CHR1:35807636-35857890(+)
48883758,CHR8:23661281-23698362(-),CHR8:41577187-41625001(+)
48883759,CHR5:100994095-101046968(+),CHR4:83535587-83605875(+)
48883760,CHR4:156249747-156281945(-),CHR1:1020120-1056119(+)
48883761,CHR8:106293327-106306477(-),CHR16:67482571-67483547(-)
48883762,CHR13:30520424-30566850(+),CHR3:148697784-148743008(+)
48883763,CHR3:20368637-20421341(-),CHR3:148697784-148743008(+)
48883764,CHR2:84966704-84970267(+),CHR11:57233577-57237250(-)
48883765,CHR1:93062962-93073143(+),CHR2:240868824-240880502(+)
48883766,CHR3:130411097-130429399(+),CHR4:108742048-108763054(-)
48883767,CHR6:29768378-29912309(+),CHR7:129225030-129430211(+)
48883768,CHR12:35547978-35584988(-),CHR7:16916359-17346152(+)
48883769,CHR13:74359237-74440450(-),CHR5:321714-438291(+)
48883770,CHR12:87313253-87320772(+),CHR14:77457867-77469472(+)
48883771,CHR16:22710793-22718193(+),CHR3:186613060-186621318(+)
48883772,CHR7:25386427-25404502(+),CHR19:41301587-41353922(-)
48883773,CHR3:87963827-87965802(-),CHR1:156591756-156609507(+)
48883774,CHR8:70340438-70346633(-),CHR19:19528861-19537581(+)
48883775,CHR6:122530768-122541139(+),CHR12:8602155-8613242(-)
48883776,CHRX:47563821-47602440(-),CHRX:130124666-130165879(-)
48883777,CHR2:31840315-31863454(+),CHR9:131096476-131123152(+)
48883778,CHR15:11000807-11029319(+),CHR5:33944623-33984693(-)
48883779,CHR10:43826632-44024849(-),CHR6:106360717-106572017(+)
48883780,CHR4:133788126-133819815(+),CHR1:26321698-26360080(-)
48883781,CHR3:132366242-132390131(-),CHR4:106315544-106349456(+)
48883782,CHR11:71918789-71928335(-),CHR17:6393693-6435199(-)
48883783,CHR1:45834326-45862779(+),CHR2:189441446-189475552(+)
48883784,CHR18:36893275-36896761(+),CHR5:140664868-140674124(+)
48883785,CHR19:28998233-29025361(-),CHR9:4709556-4742043(-)
48883786,CHR4:101276474-101324192(+),CHR1:65147549-65232145(+)
48883787,CHR12:105672235-105748706(+),CHR14:96392128-96489427(+)
48883788,CHR11:88721618-88755412(-),CHR17:57085092-57121346(+)
48883789,CHR10:4216380-4309470(+),CHR6:151239967-151358559(+)
48883790,CHR10:41179433-41309565(+),CHR6:109492855-109691217(-)
48883791,CHR12:110657470-110662829(-),CHR14:102080742-102139749(-)
48883792,CHR4:116493707-116508871(-),CHR1:45550543-45570049(+)
48883793,CHR6:34280865-34294424(-),CHR7:134442350-134459284(-)
48883794,CHR17:62911179-63188312(-),CHR5:107376894-107670937(-)
48883795,CHRX:149330443-149353614(+),CHRX:55009055-55030977(-)
48883796,CHR9:106110654-106125153(-),CHR3:52198083-52214327(+)
48883797,CHR16:52069359-52273444(-),CHR3:105366909-105576900(+)
48883798,CHR5:121704090-121731887(-),CHR12:111766887-111817532(+)
48883799,CHR11:61114240-61158267(-),CHR17:19648136-19685760(+)
48883800,CHR19:4022328-4031646(+),CHR11:67662155-67681252(-)
48883801,CHR19:3963491-3979808(-),CHR11:68008547-68029282(+)
48883802,CHR19:4008645-4022103(+),CHR11:67662155-67681252(-)
48883803,CHR1:167177560-167196100(+),CHR1:165662216-165698562(-)
48883806,CHR11:78213899-78218607(+),CHR17:28573115-28576948(-)
48883807,CHR14:20190125-20231850(-),CHR6:39188971-39229475(-)
48883808,CHR7:101668344-101714676(-),CHR11:71929018-71997597(+)
48883809,CHR2:125672222-125701002(-),CHR15:49106068-49155661(-)
48883810,CHR15:101026403-101043217(+),CHR12:51906908-51923361(+)
48883811,CHR14:34133018-34225335(-),CHR10:86755763-86932844(+)
48883812,CHR4:47353258-47414926(+),CHR9:99103647-99154192(+)
48883813,CHR3:141542897-141875186(-),CHR4:94757955-95158450(+)
48883814,CHR7:28092376-28098813(+),CHR19:39385629-39391154(-)
48883815,CHR2:33450977-33530620(-),CHR9:126613928-126701032(+)
48883816,CHR11:70132283-70146179(-),CHR17:6996049-7010754(+)
48883817,CHR11:70234978-70242857(-),CHR17:4630919-4642294(-)
48883819,CHR11:69074758-69088669(-),CHR17:8039034-8049134(+)
48883820,CHR11:69047898-69060617(+),CHR17:8072636-8087716(-)
48883821,CHR11:69016722-69039941(+),CHR17:8095900-8119047(-)
48883822,CHR6:116387038-116438139(-),CHR10:45374176-45446119(+)
48883823,CHR8:46338498-46372585(+),CHR4:185500660-185535507(-)
48883824,CHR4:137469044-137523695(-),CHR1:21508984-21578410(+)
48883825,CHR11:94827050-94843868(+),CHR17:50184101-50201632(-)
48883826,CHR6:4505618-4541543(+),CHR7:94394895-94431227(+)
48883827,CHR2:29855572-29921463(+),CHR9:128552558-128633662(+)
48883828,CHR17:34501718-34506797(-),CHR6:32628179-32655272(+)
48883828,CHR17:34501718-34506797(-),CHR6:32741391-32747198(+)
48883829,CHR17:34311314-34314208(+),CHR6:33004182-33009591(-)
48883830,CHR17:34560926-34563618(-),CHR6:32439878-32445046(+)
48883831,CHR2:73441004-73605690(-),CHR2:174798809-175005381(-)
48883832,CHR7:15832383-15851900(+),CHR19:47484530-47515091(-)
48883833,CHR1:87025724-87029328(-),CHR2:232406844-232410714(+)
48883833,CHR1:87025724-87029328(-),CHR2:232456125-232460753(+)
48883833,CHR1:87025724-87029328(-),CHR2:232378724-232382889(+)
48883834,CHR1:87052695-87055634(+),CHR2:232406844-232410714(+)
48883834,CHR1:87052695-87055634(+),CHR2:232456125-232460753(+)
48883835,CHR1:87014416-87017650(-),CHR2:232406844-232410714(+)
48883835,CHR1:87014416-87017650(-),CHR2:232456125-232460753(+)
48883836,CHR17:24912164-24915065(-),CHR16:1984193-1987749(+)
48883837,CHR1:59202085-59276390(-),CHR2:201700267-201782112(-)
48883838,CHR1:59139749-59159567(-),CHR2:201620184-201643570(-)
48883839,CHR1:60137406-60193112(+),CHR2:202912214-202988263(+)
48883840,CHR12:84616602-84642231(+),CHR14:74239449-74262738(+)
48883841,CHR2:93472779-93511686(+),CHR11:44260440-44310139(-)
48883842,CHR19:56862848-56900510(+),CHR10:114239254-114294500(+)
48883843,CHR4:63061512-63072409(-),CHR9:114060127-114078328(-)
48883844,CHR8:94698216-94739301(-),CHR16:56361452-56425545(-)
48883845,CHR14:55179378-55204384(-),CHR14:23381982-23408273(-)
48883846,CHR16:92398354-92622962(-),CHR21:34787801-36004667(-)
48883847,CHR9:102594290-102610616(+),CHR3:134355345-134375479(-)
48883848,CHR3:107981378-107993967(-),CHR1:109616104-109632055(+)
48883849,CHR7:110367413-110411612(+),CHR11:10308313-10507579(+)
48883850,CHR15:5173343-5211380(+),CHR5:40759389-40798374(-)
48883851,CHR4:104887071-104967087(-),CHR1:56645314-56715335(+)
48883852,CHR11:105927698-105950150(+),CHR17:63550222-63594286(+)
48883853,CHR14:47478401-47514314(-),CHR14:54938949-55027105(-)
48883854,CHR4:148085179-148086531(+),CHR1:11845709-11848345(-)
48883855,CHR14:26640943-26692567(-),CHR3:57227726-57278105(+)
48883856,CHR14:26716373-26724286(+),CHR3:57197838-57227615(-)
48883857,CHR2:25262333-25268225(+),CHR9:137062127-137070557(-)
48883858,CHR15:42288119-42540373(-),CHR8:107249482-107498055(-)
48883859,CHR8:18740279-18791578(-),CHR8:6499632-6563409(-)
48883860,CHR19:6117872-6127217(-),CHR11:65089324-65111862(+)
48883861,CHR1:156666495-156688648(+),CHR1:178849535-178871077(-)
48883862,CHR2:33106081-33137729(+),CHR9:127087348-127122635(-)
48883863,CHR8:23464860-23640513(+),CHR8:41653220-41896741(-)
48883864,CHR3:126715261-127292999(-),CHR4:112705622-113384221(+)
48883865,CHR10:69234608-69863266(+),CHR10:60026298-60733528(-)
48883866,CHR11:89280918-89668727(-),CHR17:55882301-56517016(+)
48883867,CHR15:27466763-27594995(+),CHR5:14704800-14871778(-)
48883868,CHR5:3740000-3852925(-),CHR7:92245974-92401383(+)
48883869,CHR12:36207123-36247290(+),CHR7:16599779-16645817(-)
48883870,CHR8:11661583-11685757(-),CHR13:110878540-110915069(-)
48883871,CHR5:114913009-114943882(+),CHR12:109999186-110039763(+)
48883872,CHR19:25214339-25411860(+),CHR9:470291-746105(+)
48883873,CHR6:118478269-118539187(-),CHR10:26947582-27100494(-)
48883874,CHR14:31420725-31552608(-),CHR3:15667236-15859814(-)
48883875,CHR15:101013636-101017921(+),CHR12:51888009-51891727(+)
48883876,CHR15:31291624-31367872(-),CHR5:10564070-10657816(+)
48883877,CHR11:53367405-53371022(-),CHR5:132813302-132816786(+)
48883878,CHR15:36477814-36496937(-),CHR8:100509752-100559784(-)
48883879,CHR10:128212993-128229875(+),CHR12:56237807-56258384(-)
48883880,CHRX:36312498-36314071(+),CHRX:119758588-119760202(+)
48883881,CHR2:136374241-136397774(+),CHR20:9986126-10058303(+)
48883882,CHR4:32804035-32950841(-),CHR6:89433152-89633834(+)
48883883,CHR2:119449205-119480646(+),CHR15:41320794-41381050(+)
48883884,CHR7:144142286-144305711(-),CHR11:69965997-70189530(+)
48883885,CHR9:122004958-122123440(-),CHR3:43354859-43691594(-)
48883886,CHR6:125667382-126017089(+),CHR12:5531869-5946232(-)
48883887,CHR7:79471551-79497958(-),CHR15:89784895-89815401(-)
48883888,CHR1:160806153-160830113(+),CHR1:173903800-173917327(-)
48883889,CHR1:180762587-180765965(+),CHR1:225886282-225911382(-)
48883890,CHR1:180720673-180726668(+),CHR1:225936598-225941383(-)
48883891,CHR6:87110835-87312757(-),CHR2:69013144-69249327(+)
48883892,CHR14:33774625-33798280(+),CHR10:46286092-46330727(+)
48883894,CHR6:116241183-116307263(+),CHR10:45615500-45672813(-)
48883895,CHR3:36503072-36530036(-),CHR4:121667946-121696995(-)
48883896,CHR5:96941257-96993825(+),CHR4:78551747-78610451(+)
48883897,CHR4:136277851-136330034(-),CHR1:23019443-23083689(+)
48883899,CHR1:58317485-58418423(+),CHR2:200738608-200791636(+)
48883900,CHR1:58152289-58239857(+),CHR2:200678233-200738781(+)
48883901,CHR1:58069090-58145572(+),CHR2:200586014-200682241(+)
48883902,CHR13:40868778-40891852(-),CHR6:10393186-10419659(-)
48883903,CHR1:19279138-19308800(+),CHR6:50818355-50847619(+)
48883904,CHR16:20354230-20363659(+),CHR3:184174689-184184214(+)
48883905,CHR13:94495468-94702825(+),CHR5:77991640-78294762(-)
48883906,CHR16:4362525-4377718(-),CHR16:4257186-4273075(-)
48883907,CHR3:103716836-103729341(+),CHR1:113894194-113905712(-)
48883908,CHR19:23736251-23926960(+),CHR9:69427532-69673013(-)
48883909,CHR7:64151454-64403626(+),CHR15:28884483-29118315(+)
48883910,CHR5:66456046-66776127(-),CHR4:40810027-41216714(-)
48883911,CHR1:75351941-75408964(+),CHR2:219434843-219493629(+)
48883912,CHR16:44979192-45008901(+),CHR3:112532510-112562046(-)
48883913,CHR1:93682627-93717328(+),CHR2:241637213-241673857(+)
48883914,CHR4:99082171-99148024(+),CHR1:62784132-62865516(+)
48883915,CHR10:44144354-44240287(+),CHR6:106045423-106325791(-)
48883916,CHR2:94242073-94268490(-),CHR11:43311963-43344529(+)
48883917,CHR4:149212806-149222057(-),CHR1:10430433-10442808(+)
48883917,CHR4:149212806-149222057(-),CHR1:10430102-10452153(+)
48883918,CHR3:31049893-31106889(+),CHR3:170222424-170305977(+)
48883919,CHR7:30134407-30144960(-),CHR19:35867899-35879803(+)
48883920,CHR17:48726259-48739756(-),CHR6:41053202-41064891(+)
48883921,CHR9:46139928-46141767(+),CHR11:116835751-116837622(-)
48883922,CHR9:46152142-46154756(+),CHR11:116820700-116823304(-)
48883923,CHR12:8027648-8066835(+),CHR2:21001429-21044073(-)
48883924,CHR7:19423405-19426584(-),CHR19:44914247-44919349(+)
48883925,CHR16:31115010-31133626(-),CHR3:195568705-195584033(-)
48883926,CHR7:19430034-19433113(-),CHR19:44905791-44909393(+)
48883927,CHR4:107659337-107734037(+),CHR1:53242364-53328469(-)
48883928,CHRX:93410723-93460699(+),CHRX:23833353-23907938(-)
48883929,CHR12:111679695-111721487(+),CHR14:103562960-103607523(+)
48883930,CHR7:127590545-127593039(-),CHR16:31201486-31203450(-)
48883931,CHR16:84751236-84972187(-),CHR21:25880535-26171128(-)
48883932,CHR8:105237660-105261269(-),CHR16:66802875-66873256(-)
48883933,CHR11:69573672-69576610(-),CHR17:7558282-7561608(+)
48883934,CHR10:128061707-128067681(+),CHR12:56449502-56469166(-)
48883935,CHR7:97375586-97387454(-),CHR11:77589391-77610356(+)
48883936,CHR6:55313417-55325540(+),CHR7:30911853-30925517(+)
48883937,CHR4:41092724-41098183(-),CHR9:33441156-33447596(-)
48883938,CHR7:123061517-123067226(+),CHR16:25215731-25228932(+)
48883939,CHR9:71017941-71075170(-),CHR15:58138169-58185911(+)
48883940,CHR9:54073221-54175394(-),CHR15:51208057-51338601(-)
48883941,CHRX:97192375-97366821(+),CHRX:67544021-67730619(+)
48883942,CHR18:38417590-38450902(+),CHR5:141949337-141990292(+)
48883943,CHR2:71104614-71198125(-),CHR2:171783405-171999859(-)
48883944,CHR5:115697526-115701786(+),CHR12:120196699-120201235(-)
48883944,CHR5:115697526-115701786(+),CHR2:38481775-38482875(+)
